,KMC,HC,RMF,KNN1,KNN3,KNN5,C,data_split,type
0,0.9200138674685387,0.9426367485442668,0.9863658716498648,0.932741382288351,0.9380826441769698,0.9535696040868455,50,90,F1
0,0.91862601166949,0.9461857048790148,0.9848571428571429,0.92944806398644,0.9374835916771401,0.9504844006568145,50,90,precision
0,0.9276272577996716,0.9421275545618046,0.9880952380952381,0.9385878489326765,0.9419129720853858,0.9585796387520527,50,90,recall
0,0.9044963584683556,0.9550492812952598,0.9864825346478836,0.9043942621990441,0.916663625859028,0.9227498075014149,25,90,F1
0,0.9035386119257087,0.9562432559776145,0.9853333333333334,0.904517013853777,0.9179916635089048,0.9238095238095239,25,90,precision
0,0.9123973727422003,0.9542431031001678,0.9880952380952381,0.9123973727422003,0.9197865353037766,0.9266830870279147,25,90,recall
0,0.937588077570618,0.9515585851819776,0.9586956137427689,0.9400125313283209,0.9351242852141441,0.9329930156293813,12,90,F1
0,0.9344367816091953,0.9533323125668675,0.9566730523627076,0.9376104053236538,0.9398387096774193,0.9372657450076805,12,90,precision
0,0.9442939244663382,0.9505230855020983,0.9612068965517242,0.9454844006568145,0.936904761904762,0.9347701149425287,12,90,recall
0,0.9501356070810706,0.9507906256836927,0.9789379059711795,0.9764411027568922,0.9821009477075512,0.9743368566287904,8,90,F1
0,0.949037514209928,0.951280299285691,0.9779259259259259,0.9764367816091953,0.9808179920879668,0.973921440363829,8,90,precision
0,0.9538177339901479,0.9506908220668672,0.980952380952381,0.9766830870279147,0.9835796387520526,0.9752463054187193,8,90,recall
0,0.8225582137161084,0.8627929747060834,0.8014154351666404,0.8156928709914949,0.8492051488875445,0.8409871989109193,4,90,F1
0,0.8393540530170329,0.8685695732359051,0.7968253968253969,0.8143256704980842,0.8505478927203065,0.842272883491809,4,90,precision
0,0.8308702791461412,0.8623221975542272,0.810344827586207,0.8194170771756978,0.8496305418719212,0.8401067323481117,4,90,recall
0,0.45316106097894443,0.5715195752320866,0.4318035880474258,0.41941393741393745,0.42711713548921393,0.449202105084458,2,90,F1
0,0.4699411764705882,0.5935114394665721,0.44771368468589623,0.42130952380952386,0.43824542124542126,0.45273988273988275,2,90,precision
0,0.45108627005178725,0.5735132967633738,0.44040671971706447,0.4294177087280535,0.4340596185423771,0.45863016294050774,2,90,recall
0,0.8763392461888267,0.864107952603088,0.939334623070725,0.945089923424536,0.9520768501959852,0.9539568680857379,50,50,F1
0,0.8861077541894351,0.885218596154061,0.9388062050507084,0.9456899908460583,0.9519782662298427,0.9538660757400139,50,50,precision
0,0.8770613695285363,0.8572975804683122,0.9403612496473397,0.9461986981837434,0.9525530699894963,0.9542412054127656,50,50,recall
0,0.9516631325861337,0.9370661915784645,0.9523144040371723,0.9516392326196635,0.9597248429757672,0.9666689490780549,25,50,F1
0,0.9518740173335726,0.9494254659679381,0.9512949271586416,0.9507446016547796,0.9589178251714756,0.9658987372136002,25,50,precision
0,0.9528614531760178,0.9326142962728328,0.954120769043248,0.953343762628579,0.9610582236205081,0.9683604988101072,25,50,recall
0,0.9481850949646032,0.9274957765115138,0.9574299187621312,0.941988585831783,0.9535294202181037,0.966512142991497,12,50,F1
0,0.9481849202880974,0.9305853156591677,0.9567236001843819,0.9419844338697716,0.9533089321614592,0.9656955810147299,12,50,precision
