,KMC,HC,RMF,KNN1,KNN3,KNN5,C,data_split,type
0,0.9041282885350682,0.9426367485442668,0.9792098073751564,0.932741382288351,0.9380826441769698,0.9535696040868455,50,90,F1
0,0.9011309523809524,0.9461857048790148,0.9779259259259259,0.92944806398644,0.9374835916771401,0.9504844006568145,50,90,precision
0,0.9123973727422003,0.9421275545618046,0.980952380952381,0.9385878489326765,0.9419129720853858,0.9585796387520527,50,90,recall
0,0.917824962231742,0.9550492812952598,0.9929738058551617,0.9043942621990441,0.916663625859028,0.9227498075014149,25,90,F1
0,0.9188095238095239,0.9562432559776145,0.9933333333333334,0.904517013853777,0.9179916635089048,0.9238095238095239,25,90,precision
0,0.9243021346469623,0.9542431031001678,0.9928571428571429,0.9123973727422003,0.9197865353037766,0.9266830870279147,25,90,recall
0,0.928575097219165,0.9515585851819776,0.9518787234274949,0.9400125313283209,0.9351242852141441,0.9329930156293813,12,90,F1
0,0.9266666666666667,0.9533323125668675,0.95213282247765,0.9376104053236538,0.9398387096774193,0.9372657450076805,12,90,precision
0,0.9335796387520526,0.9505230855020983,0.9540640394088671,0.9454844006568145,0.936904761904762,0.9347701149425287,12,90,recall
0,0.9606192762456918,0.9507906256836927,0.9725511283979698,0.9764411027568922,0.9821009477075512,0.9743368566287904,8,90,F1
0,0.9592894389042412,0.951280299285691,0.9705413105413105,0.9764367816091953,0.9808179920879668,0.973921440363829,8,90,precision
0,0.9623973727422003,0.9506908220668672,0.9761904761904763,0.9766830870279147,0.9835796387520526,0.9752463054187193,8,90,recall
0,0.8251742593975605,0.8627929747060834,0.8247865995214114,0.8156928709914949,0.8492051488875445,0.8409871989109193,4,90,F1
0,0.8795355191256832,0.8685695732359051,0.8204365079365079,0.8143256704980842,0.8505478927203065,0.842272883491809,4,90,precision
0,0.8325533661740557,0.8623221975542272,0.8336617405582922,0.8194170771756978,0.8496305418719212,0.8401067323481117,4,90,recall
0,0.47993909301555765,0.5715195752320866,0.4352848788638262,0.41941393741393745,0.42711713548921393,0.449202105084458,2,90,F1
0,0.5177561528371739,0.5935114394665721,0.4525085359418194,0.42130952380952386,0.43824542124542126,0.45273988273988275,2,90,precision
0,0.47956612353164074,0.5735132967633738,0.4451686244789693,0.4294177087280535,0.4340596185423771,0.45863016294050774,2,90,recall
0,0.9161901115108119,0.864107952603088,0.9401364743378615,0.945089923424536,0.9520768501959852,0.9539568680857379,50,50,F1
0,0.9218554995113413,0.885218596154061,0.9396399127455306,0.9456899908460583,0.9519782662298427,0.9538660757400139,50,50,precision
0,0.9128350358691204,0.8572975804683122,0.9412511555715705,0.9461986981837434,0.9525530699894963,0.9542412054127656,50,50,recall
0,0.9367259058355261,0.9370661915784645,0.9563584209816611,0.9516392326196635,0.9597248429757672,0.9666689490780549,25,50,F1
0,0.9360361835848842,0.9494254659679381,0.955436046517072,0.9507446016547796,0.9589178251714756,0.9658987372136002,25,50,precision
0,0.9390601789067642,0.9326142962728328,0.9577383901997869,0.953343762628579,0.9610582236205081,0.9683604988101072,25,50,recall
0,0.9358027314866465,0.9274957765115138,0.9618808813642582,0.941988585831783,0.9535294202181037,0.966512142991497,12,50,F1
0,0.9356413379226378,0.9305853156591677,0.9613646507916759,0.9419844338697716,0.9533089321614592,0.9656955810147299,12,50,precision
0,0.9363146317605023,0.9252757811294396,0.9628339851861222,0.9428419996170427,0.955014634479593,0.9676710277670495,12,50,recall
0,0.9338399458743313,0.938392135713283,0.945098731852118,0.9372856564213021,0.9478942020687761,0.9517663387785873,8,50,F1
0,0.9373963751046798,0.9391284103247527,0.9442251278058524,0.9366393139484173,0.9469615329268073,0.9513085858255723,8,50,precision
0,0.9336898182226367,0.9378547468791372,0.9465947075126099,0.940264983891487,0.9500677013952469,0.9533784379222144,8,50,recall
0,0.8101200112485032,0.8269314827224777,0.8147700554080293,0.8100298480852347,0.8076776182114423,0.8311037912789422,4,50,F1
0,0.8286858649909279,0.8512749269079546,0.8102634325723423,0.8089690262934581,0.8069435769247729,0.8309163832872534,4,50,precision
0,0.8211906522081452,0.830183312622337,0.8205444389625909,0.8114200782940912,0.8097071221478916,0.8350506401590863,4,50,recall
0,0.5297361188265143,0.5994289795103127,0.5560948973365769,0.47558278830564316,0.4846807337111999,0.5161653308008884,2,50,F1
0,0.5424358153474305,0.6233107721542039,0.5558439954616718,0.4753267256811039,0.48924300209371807,0.5199360827005671,2,50,precision
0,0.547041017265393,0.6033680140997213,0.5617046151153267,0.4782086658449732,0.49171497695400956,0.5307252598402948,2,50,recall
0,0.4916730902688638,0.6252528190763486,0.865362224918026,0.8516800526890858,0.8675895513461981,0.8616713891360479,50,20,F1
0,0.8164609954134067,0.8588571428571429,0.8907173884068552,0.8668643895805733,0.8954884271498464,0.892223773181448,50,20,precision
0,0.4828225803522863,0.5973191386194483,0.8614648048083493,0.8483470749424733,0.8609557027641885,0.8549581987944018,50,20,recall
0,0.7073733442789497,0.8412805537212318,0.8869133653666305,0.896495798523725,0.8913384741488442,0.8954294370133864,25,20,F1
0,0.8637196791106037,0.8754196482030661,0.8954819737361449,0.8982291143421447,0.8983262613397717,0.9055508958487606,25,20,precision
0,0.674937665502024,0.828091930940228,0.8859332734435312,0.8965472520751305,0.8898371100162029,0.8946816042244807,25,20,recall
0,0.8404057856063515,0.8387138675087037,0.8864894614999663,0.9036914680378547,0.9176362251383903,0.9183625381113204,12,20,F1
0,0.8502582566049659,0.8484619891500319,0.903645480831013,0.9046436631829957,0.9225858773366424,0.9221908191333703,12,20,precision
